tanggal,kurs_idr_per_usd,kurs_change,kurs_change_pct
2021-09-01,14284.0,,
2021-09-02,14281.0,-3.0,-0.021
2021-09-03,14261.0,-20.0,-0.14
2021-09-06,14239.0,-22.0,-0.1543
2021-09-07,14195.0,-44.0,-0.309
2021-09-08,14266.0,71.0,0.5002
2021-09-09,14272.0,6.0,0.0421
2021-09-10,14225.0,-47.0,-0.3293
2021-09-13,14260.0,35.0,0.246
2021-09-14,14257.0,-3.0,-0.021
2021-09-15,14252.0,-5.0,-0.0351
2021-09-16,14238.0,-14.0,-0.0982
2021-09-17,14233.0,-5.0,-0.0351
2021-09-20,14251.0,18.0,0.1265
2021-09-21,14244.0,-7.0,-0.0491
2021-09-22,14249.0,5.0,0.0351
2021-09-23,14256.0,7.0,0.0491
2021-09-24,14250.0,-6.0,-0.0421
2021-09-27,14258.0,8.0,0.0561
2021-09-28,14269.0,11.0,0.0771
2021-09-29,14307.0,38.0,0.2663
2021-09-30,14321.0,14.0,0.0979
2021-10-01,14315.0,-6.0,-0.0419
2021-10-04,14276.0,-39.0,-0.2724
2021-10-05,14260.0,-16.0,-0.1121
2021-10-06,14245.0,-15.0,-0.1052
2021-10-07,14238.0,-7.0,-0.0491
2021-10-08,14225.0,-13.0,-0.0913
2021-10-11,14210.0,-15.0,-0.1054
2021-10-12,14217.0,7.0,0.0493
2021-10-13,14221.0,4.0,0.0281
2021-10-14,14155.0,-66.0,-0.4641
2021-10-15,14084.0,-71.0,-0.5016
2021-10-18,14096.0,12.0,0.0852
2021-10-19,14080.0,-16.0,-0.1135
2021-10-21,14133.0,53.0,0.3764
2021-10-22,14162.0,29.0,0.2052
2021-10-25,14183.0,21.0,0.1483
2021-10-26,14165.0,-18.0,-0.1269
2021-10-27,14184.0,19.0,0.1341
2021-10-28,14199.0,15.0,0.1058
2021-10-29,14171.0,-28.0,-0.1972
2021-11-01,14235.0,64.0,0.4516
2021-11-02,14261.0,26.0,0.1826
2021-11-03,14301.0,40.0,0.2805
2021-11-04,14327.0,26.0,0.1818
2021-11-05,14374.0,47.0,0.3281
2021-11-08,14268.0,-106.0,-0.7374
2021-11-09,14233.0,-35.0,-0.2453
2021-11-10,14253.0,20.0,0.1405
2021-11-11,14288.0,35.0,0.2456
2021-11-12,14243.0,-45.0,-0.3149
2021-11-15,14206.0,-37.0,-0.2598
2021-11-16,14211.0,5.0,0.0352
2021-11-17,14259.0,48.0,0.3378
2021-11-18,14231.0,-28.0,-0.1964
2021-11-19,14237.0,6.0,0.0422
2021-11-22,14255.0,18.0,0.1264
2021-11-23,14272.0,17.0,0.1193
2021-11-24,14272.0,0.0,0.0
2021-11-25,14280.0,8.0,0.0561
2021-11-26,14280.0,0.0,0.0
2021-11-29,14340.0,60.0,0.4202
2021-11-30,14320.0,-20.0,-0.1395
2021-12-01,14353.0,33.0,0.2304
2021-12-02,14378.0,25.0,0.1742
2021-12-03,14408.0,30.0,0.2087
2021-12-06,14441.0,33.0,0.229
2021-12-07,14408.0,-33.0,-0.2285
2021-12-08,14348.0,-60.0,-0.4164
2021-12-09,14351.0,3.0,0.0209
2021-12-10,14378.0,27.0,0.1881
2021-12-13,14346.0,-32.0,-0.2226
2021-12-14,14348.0,2.0,0.0139
2021-12-15,14337.0,-11.0,-0.0767
2021-12-16,14343.0,6.0,0.0418
2021-12-17,14343.0,0.0,0.0
2021-12-20,14384.0,41.0,0.2859
2021-12-21,14349.0,-35.0,-0.2433
2021-12-22,14264.0,-85.0,-0.5924
2021-12-23,14251.0,-13.0,-0.0911
2021-12-24,14219.0,-32.0,-0.2245
2021-12-27,14225.0,6.0,0.0422
2021-12-28,14237.0,12.0,0.0844
2021-12-29,14265.0,28.0,0.1967
2021-12-30,14269.0,4.0,0.028
